index,fips,year,temp,tempc
0,1,1895,61.641666666666666,16.46759259259259
1,1,1896,64.26666666666667,17.925925925925924
2,1,1897,64.19166666666666,17.884259259259256
3,1,1898,62.98333333333333,17.212962962962965
4,1,1899,63.1,17.27777777777778
5,1,1900,63.40833333333333,17.449074074074073
6,1,1901,61.391666666666666,16.328703703703702
7,1,1902,63.583333333333336,17.546296296296298
8,1,1903,61.975,16.65277777777778
9,1,1904,62.766666666666666,17.09259259259259
10,1,1905,62.63333333333333,17.01851851851852
11,1,1906,63.275,17.375
12,1,1907,63.725,17.625
13,1,1908,64.04166666666667,17.80092592592593
14,1,1909,63.85,17.694444444444443
15,1,1910,62.66666666666666,17.037037037037035
16,1,1911,65.325,18.51388888888889
17,1,1912,62.11666666666667,16.73148148148148
18,1,1913,63.60833333333333,17.560185185185187
19,1,1914,62.83333333333333,17.129629629629626
20,1,1915,63.2,17.333333333333332
21,1,1916,63.44166666666666,17.46759259259259
22,1,1917,61.85,16.583333333333332
23,1,1918,63.78333333333333,17.657407407407405
24,1,1919,64.09166666666667,17.828703703703706
25,1,1920,62.3,16.833333333333336
26,1,1921,65.70833333333333,18.726851851851848
27,1,1922,65.16666666666666,18.42592592592592
28,1,1923,63.41666666666666,17.453703703703702
29,1,1924,62.25,16.805555555555557
30,1,1925,64.95833333333333,18.31018518518518
31,1,1926,62.9,17.166666666666668
32,1,1927,65.58333333333333,18.657407407407405
33,1,1928,62.48333333333333,16.935185185185187
34,1,1929,63.43333333333334,17.462962962962965
35,1,1930,63.266666666666666,17.370370370370367
36,1,1931,64.05,17.805555555555557
37,1,1932,64.01666666666667,17.787037037037035
38,1,1933,65.1,18.38888888888889
39,1,1934,63.4,17.444444444444443
40,1,1935,63.575,17.541666666666668
41,1,1936,63.80833333333334,17.671296296296298
42,1,1937,63.391666666666666,17.439814814814813
43,1,1938,64.54166666666667,18.07870370370371
44,1,1939,63.875,17.708333333333332
45,1,1940,61.175,16.208333333333332
46,1,1941,63.6,17.555555555555557
47,1,1942,62.5,16.944444444444443
48,1,1943,63.24166666666667,17.35648148148148
49,1,1944,63.60833333333333,17.560185185185187
50,1,1945,63.85,17.694444444444443
51,1,1946,64.10833333333333,17.837962962962965
52,1,1947,62.65,17.02777777777778
53,1,1948,63.4,17.444444444444443
54,1,1949,64.225,17.902777777777775
55,1,1950,63.11666666666667,17.287037037037038
56,1,1951,63.766666666666666,17.648148148148145
57,1,1952,63.35,17.416666666666668
58,1,1953,63.75833333333333,17.64351851851852
59,1,1954,64.175,17.875
60,1,1955,63.43333333333333,17.462962962962962
61,1,1956,63.583333333333336,17.546296296296298
62,1,1957,63.95,17.75
63,1,1958,61.21666666666667,16.23148148148148
64,1,1959,62.95,17.194444444444443
65,1,1960,61.54166666666666,16.412037037037035
66,1,1961,61.93333333333334,16.629629629629633
67,1,1962,63.05,17.25
68,1,1963,61.725,16.51388888888889
69,1,1964,62.391666666666666,16.884259259259256
70,1,1965,63.00833333333333,17.22685185185185
71,1,1966,61.641666666666666,16.46759259259259
